time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-10T21:26:31.120Z,17.9555,-66.911,12.39,1.91,md,6,208,,0.06,pr,pr71348328,2022-05-10T21:35:42.830Z,"1 km S of Guánica, Puerto Rico",earthquake,0.94,0.39,0.0307092607583621,4,reviewed,pr,pr
2022-05-10T21:19:03.459Z,48.809,152.9918,147.94,4.6,mb,,106,5.231,0.74,us,us7000h8fh,2022-05-10T22:01:46.040Z,"Kuril Islands",earthquake,10.4,5.9,0.034,264,reviewed,us,us
2022-05-10T21:19:00.390Z,44.3551667,-115.1918333,-3.34,1.89,ml,8,116,0.828,0.24,mb,mb80545584,2022-05-10T23:09:40.300Z,"25 km NW of Stanley, Idaho",earthquake,0.53,2.11,0.195,10,reviewed,mb,mb
2022-05-10T21:15:42.955Z,57.8847,-155.7695,3.5,2.9,ml,,,,1.02,ak,ak0225zcgixk,2022-05-10T21:32:25.040Z,"85 km WNW of Karluk, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-05-10T21:15:01.890Z,36.458,-117.9628333,9.44,1.69,ml,26,47,0.09631,0.16,ci,ci40255816,2022-05-10T21:58:44.257Z,"17km SE of Lone Pine, CA",earthquake,0.18,0.36,0.156,14,reviewed,ci,ci
2022-05-10T21:13:20.880Z,44.3566667,-115.1948333,9.61,2.08,ml,9,82,0.83,0.27,mb,mb80545579,2022-05-10T23:27:50.140Z,"25 km NW of Stanley, Idaho",earthquake,0.66,2.08,0.226,10,reviewed,mb,mb
2022-05-10T21:11:37.960Z,38.7980003,-122.7884979,-0.08,0.82,md,14,63,0.004836,0.04,nc,nc73731866,2022-05-10T21:30:10.394Z,"4km NW of The Geysers, CA",earthquake,0.22,0.52,0.45,2,automatic,nc,nc
2022-05-10T21:10:56.220Z,38.8226662,-122.7714996,1.17,0.96,md,12,87,0.007891,0.01,nc,nc73731861,2022-05-10T22:12:16.652Z,"4km W of Cobb, CA",earthquake,0.28,0.47,0.28,2,automatic,nc,nc
2022-05-10T21:08:27.370Z,38.8343315,-122.8174973,1.68,0.98,md,22,61,0.01236,0.02,nc,nc73731856,2022-05-10T21:51:17.515Z,"8km NW of The Geysers, CA",earthquake,0.2,0.43,0.18,3,automatic,nc,nc
2022-05-10T20:47:29.937Z,61.6351,-151.6996,89.5,1.2,ml,,,,0.49,ak,ak0225zc1xaq,2022-05-10T20:49:56.706Z,"42 km SSW of Skwentna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2022-05-10T20:45:12.503Z,38.1601,-117.8702,4.3,1.2,ml,13,162.51,0.074,0.1647,nn,nn00838633,2022-05-11T02:38:59.895Z,"33 km SE of Mina, Nevada",earthquake,,6.4,0.1,3,reviewed,nn,nn
2022-05-10T20:41:54.000Z,53.8276666666667,-166.5735,3.18,0.26,ml,5,194,,0.06,av,av91557471,2022-05-11T01:02:29.040Z,"5 km SSW of Unalaska, Alaska",earthquake,0.78,1.63,0.362567048940893,6,reviewed,av,av
2022-05-10T20:26:34.738Z,37.183,-115.9938,3.3,1.5,ml,11,182.86,0.009,0.1305,nn,nn00838692,2022-05-11T02:39:21.235Z,"55 km SSW of Rachel, Nevada",earthquake,,1.5,0.48,7,reviewed,nn,nn
2022-05-10T20:20:25.510Z,37.4538333,-118.7918333,5.15,0.97,md,8,139,0.1391,0.12,nc,nc73731846,2022-05-10T21:55:09.695Z,"16km SW of Toms Place, CA",earthquake,0.68,5.1,0.179,7,reviewed,nc,nc
2022-05-10T20:16:16.940Z,39.5657,120.705,10,4.4,mb,,56,3.524,0.66,us,us7000h8f7,2022-05-10T22:06:30.040Z,"95 km ESE of Shanhaiguan, China",earthquake,5.5,1.6,0.07,66,reviewed,us,us
2022-05-10T20:15:05.445Z,38.1651,-117.8606,5.3,1.3,ml,15,140.71,0.082,0.1389,nn,nn00838631,2022-05-11T02:38:58.908Z,"33 km SE of Mina, Nevada",earthquake,,2.2,0.11,3,reviewed,nn,nn
2022-05-10T20:12:36.535Z,38.1646,-117.8692,5.5,1.8,ml,15,139.64,0.076,0.153,nn,nn00838628,2022-05-11T02:38:57.726Z,"32 km SE of Mina, Nevada",earthquake,,2.4,0.07,3,reviewed,nn,nn
2022-05-10T20:10:00.962Z,38.1653,-117.8684,4.7,1.3,ml,12,139.88,0.076,0.149,nn,nn00838658,2022-05-11T02:39:17.345Z,"32 km SE of Mina, Nevada",earthquake,,3.6,0.04,3,reviewed,nn,nn
2022-05-10T20:09:22.040Z,38.1632,-117.8719,4.2,0.9,ml,12,163.32,0.073,0.1287,nn,nn00838627,2022-05-11T02:38:54.333Z,"32 km SE of Mina, Nevada",earthquake,,3.3,0.03,2,reviewed,nn,nn
2022-05-10T20:08:39.040Z,36.6808319,-121.3075027,3.25,1.84,md,23,141,0.0411,0.08,nc,nc73731831,2022-05-10T23:31:16.111Z,"12km S of Tres Pinos, CA",earthquake,0.34,0.9,0.17,22,automatic,nc,nc
2022-05-10T19:42:54.330Z,36.5696678,-121.4166641,-0.4,1.2,md,10,185,0.03034,0.29,nc,nc73731821,2022-05-10T22:50:15.888Z,"7km NNE of Gonzales, CA",earthquake,1.88,2.26,0.14,6,automatic,nc,nc
2022-05-10T19:38:22.398Z,61.654,-151.2717,74.4,1.7,ml,,,,0.76,ak,ak0225zbejly,2022-05-10T19:46:24.343Z,"38 km S of Skwentna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-05-10T19:23:51.130Z,18.0381666666667,-66.8061666666667,17.85,1.83,md,6,219,,0.08,pr,pr71348308,2022-05-10T19:36:13.060Z,"2 km NW of Guayanilla, Puerto Rico",earthquake,0.58,0.79,0.0859661932890735,4,reviewed,pr,pr
2022-05-10T19:21:00.030Z,19.1825008392334,-155.467834472656,32.2799987792969,2.02999997,md,25,158,,0.140000001,hv,hv73008512,2022-05-10T19:24:17.090Z,"2 km SSE of Pāhala, Hawaii",earthquake,0.76,1.27999997,0.670000017,3,automatic,hv,hv
2022-05-10T19:09:07.828Z,34.1525,-80.7385,6.2,2.8,ml,,63,0.318,0.35,us,us7000h8ei,2022-05-11T05:21:27.476Z,"5 km ESE of Elgin, South Carolina",earthquake,1.3,3.8,0.074,24,reviewed,us,us
2022-05-10T19:04:16.500Z,46.015,-112.4481667,-2,1.66,ml,14,116,0.074,0.07,mb,mb80545564,2022-05-10T20:13:50.420Z,"6 km E of Butte, Montana",quarry blast,0.4,31.61,0.238,8,reviewed,mb,mb
2022-05-10T19:02:27.710Z,34.9946667,-118.1878333,-0.8,1.3,ml,20,59,0.1203,0.15,ci,ci40255712,2022-05-10T21:25:25.528Z,"7km S of Mojave, CA",quarry blast,0.29,31.61,0.095,10,reviewed,ci,ci
2022-05-10T19:02:07.260Z,35.0628333,-118.3241667,-1.01,0.86,ml,13,78,0.07347,0.1,ci,ci37498317,2022-05-10T21:16:32.595Z,"14km W of Mojave, CA",quarry blast,0.29,31.61,0.166,8,reviewed,ci,ci
2022-05-10T18:58:02.200Z,19.175666809082,-155.475494384766,32.8199996948242,2.22000003,md,36,77,,0.140000001,hv,hv73008497,2022-05-10T19:01:08.700Z,"3 km S of Pāhala, Hawaii",earthquake,0.58,0.730000019,0.209999993,17,automatic,hv,hv
2022-05-10T18:54:12.860Z,34.5031667,-118.9693333,13.04,1.28,ml,30,64,0.1018,0.24,ci,ci40255704,2022-05-10T20:30:52.742Z,"12km NNW of Fillmore, CA",earthquake,0.39,1.1,0.125,13,reviewed,ci,ci
2022-05-10T18:37:13.180Z,53.9431666666667,-166.694833333333,5.01,-1.01,ml,5,134,,0.14,av,av91058108,2022-05-11T01:31:10.000Z,"11 km WNW of Dutch Harbor, Alaska",earthquake,0.45,1.1,0.221577762825639,5,reviewed,av,av
2022-05-10T18:36:40.660Z,38.8083344,-122.8221664,2.09,0.74,md,21,63,0.005504,0.03,nc,nc73731811,2022-05-10T19:07:12.558Z,"7km WNW of The Geysers, CA",earthquake,0.22,0.5,0.11,2,automatic,nc,nc
2022-05-10T18:35:33.130Z,38.7993317,-122.7979965,0.95,0.35,md,9,92,0.008877,0.02,nc,nc73731806,2022-05-10T18:56:12.500Z,"4km NW of The Geysers, CA",earthquake,0.32,0.69,,1,automatic,nc,nc
2022-05-10T18:32:11.523Z,62.9143,-151.3247,108.1,1.7,ml,,,,0.26,ak,ak0225zart01,2022-05-10T18:36:01.731Z,"54 km NNW of Petersville, Alaska",earthquake,,1.1,,,automatic,ak,ak
2022-05-10T18:26:17.850Z,37.8415,-122.6161667,5.83,1.04,md,15,230,0.08354,0.05,nc,nc73731801,2022-05-10T19:29:15.683Z,"4km SW of Muir Beach, CA",earthquake,0.81,0.6,0.289,12,reviewed,nc,nc
2022-05-10T18:20:02.680Z,38.7900009,-122.7611694,1.08,1.16,md,22,77,0.02026,0.06,nc,nc73731796,2022-05-10T21:26:14.378Z,"2km NNW of The Geysers, CA",earthquake,0.24,0.47,0.06,6,automatic,nc,nc
2022-05-10T18:06:13.290Z,34.0238333,-117.1166667,6.83,1.16,ml,35,98,0.01213,0.15,ci,ci40255672,2022-05-10T18:45:58.666Z,"5km SSE of Mentone, CA",earthquake,0.24,0.5,0.126,25,reviewed,ci,ci
2022-05-10T18:00:57.490Z,34.0193333,-117.1118333,6.98,0.93,ml,21,103,0.08765,0.14,ci,ci40255664,2022-05-10T18:33:38.504Z,"6km SSE of Mentone, CA",earthquake,0.27,0.76,0.15,16,reviewed,ci,ci
2022-05-10T17:54:40.190Z,38.7791672,-122.7074966,1.76,1.15,md,18,121,0.01272,0.05,nc,nc73731791,2022-05-10T19:51:09.820Z,"1km WNW of Anderson Springs, CA",earthquake,0.35,0.56,0.05,4,automatic,nc,nc
2022-05-10T17:47:10.260Z,45.0081667,-111.883,5.78,2.06,ml,32,84,0.251,0.21,mb,mb80545554,2022-05-10T20:53:11.210Z,"32 km S of Virginia City, Montana",earthquake,0.38,1.1,0.193,23,reviewed,mb,mb
2022-05-10T17:39:17.613Z,38.1963,-118.5225,7.5,0.1,ml,6,334.38,0.057,0.0997,nn,nn00838656,2022-05-11T02:39:16.372Z,"37 km SSE of Hawthorne, Nevada",earthquake,,6.9,0,1,reviewed,nn,nn
2022-05-10T17:39:14.721Z,57.8374,-155.7199,12.1,1.8,ml,,,,0.56,ak,ak0225za7vfo,2022-05-10T17:47:28.422Z,"81 km WNW of Karluk, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2022-05-10T17:38:48.000Z,46.2878333,-111.6381667,-2,1.72,ml,7,158,0.329,0.2,mb,mb80545549,2022-05-10T22:04:44.230Z,"9 km WSW of Townsend, Montana",quarry blast,0.98,31.61,0.147,8,reviewed,mb,mb
2022-05-10T17:38:30.421Z,38.2008,-118.5262,7.6,-0.1,ml,6,337.57,0.053,0.0339,nn,nn00838655,2022-05-11T02:39:15.629Z,"36 km SSE of Hawthorne, Nevada",earthquake,,4.5,0,1,reviewed,nn,nn
2022-05-10T17:34:41.135Z,57.8294,-156.9524,176.5,2.6,ml,,,,0.7,ak,ak0225za6v9t,2022-05-10T21:49:57.040Z,"44 km NE of Ugashik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-05-10T17:32:28.170Z,33.2436667,-116.2771667,9.81,0.97,ml,51,36,0.05442,0.19,ci,ci40255640,2022-05-10T18:07:29.359Z,"9km E of Borrego Springs, CA",earthquake,0.18,0.4,0.149,22,reviewed,ci,ci
2022-05-10T17:30:25.680Z,17.9231666666667,-66.7975,9.48,2.91,md,18,184,,0.31,pr,pr71348283,2022-05-10T21:27:10.040Z,"8 km SSE of Indios, Puerto Rico",earthquake,0.83,1.18,0.246737810725102,13,reviewed,pr,pr
2022-05-10T17:27:41.410Z,53.4465,-168.032666666667,0.22,-1.46,ml,4,266,,0.08,av,av91058098,2022-05-11T00:52:59.550Z,"79 km NE of Nikolski, Alaska",earthquake,0.4,0.27,0.268847630284609,3,reviewed,av,av
2022-05-10T17:26:49.583Z,57.8984,-155.7953,8.9,2.1,ml,,,,0.62,ak,ak0225za55xa,2022-05-10T21:14:02.040Z,"87 km WNW of Karluk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-05-10T17:24:06.974Z,34.1514,-80.7389,3.88,2.3,mb_lg,,108,0.318,0.34,us,us7000h8eg,2022-05-11T02:28:01.541Z,"5 km ESE of Elgin, South Carolina",earthquake,1.2,3.9,0.295,3,reviewed,us,us
2022-05-10T17:21:55.060Z,19.1593341827393,-155.457168579102,29.8099994659424,1.70000005,md,31,168,,0.180000007,hv,hv73008417,2022-05-10T17:25:09.610Z,"5 km SSE of Pāhala, Hawaii",earthquake,1.04,1.54999995,0.680000007,8,automatic,hv,hv
